Issuer Country,ISO2,ISO3,CBI_Bond_Count,CBI_Total_USD_B,CBI_Unique_Issuers,CBI_First_Issue,CBI_Latest_Issue
France,FR,FRA,70,51.379167766,12,2016-11-01,2025-10-09
United States,US,USA,143,48.552957066,42,2016-02-01,2025-10-15
Netherlands,NL,NLD,25,34.958875013000004,11,2016-05-01,2023-03-23
China,CN,CHN,35,34.268168889,21,2017-06-01,2024-10-17
Australia,AU,AUS,147,31.281913156,67,2014-12-01,2025-11-07
Japan,JP,JPN,50,15.304101026,10,2019-03-01,2025-11-27
Germany,DE,DEU,24,15.063355,12,2016-03-01,2024-01-23
India,IN,IND,69,11.172070153,43,2016-01-01,2025-10-14
Norway,NO,NOR,12,10.8841125,7,2018-01-01,2023-05-19
New Zealand,NZ,NZL,49,8.999209214,10,2016-03-01,2025-12-10
Chile,CL,CHL,8,7.445,2,2019-06-01,2025-12-11
United Arab Emirates,AE,ARE,7,6.44315,5,2019-01-19,2026-01-15
Thailand,TH,THA,15,4.626890468,8,2018-12-01,2023-09-29
Poland,PL,POL,9,3.8921345,4,2019-06-01,2025-12-03
Hong Kong,HK,HKG,3,3.12,3,2017-11-01,2021-11-02
Brazil,BR,BRA,48,2.802925347,29,2016-09-01,2025-09-15
United Kingdom,GB,GBR,29,2.650005719,7,2014-10-01,2024-10-16
Mauritius,MU,MUS,6,2.532,5,2017-02-01,2023-04-21
Italy,IT,ITA,3,2.356531,1,2019-07-01,2021-12-23
Belgium,BE,BEL,3,1.984871,1,2018-06-01,2021-12-01
Luxembourg,LU,LUX,4,1.2238,3,2017-01-01,2022-08-01
Switzerland,CH,CHE,3,1.167776,3,2020-03-20,2022-10-18
South Africa,ZA,ZAF,5,0.907099435,4,2017-07-01,2023-11-30
Greece,GR,GRC,2,0.8440000000000001,2,2019-10-01,2019-12-01
Mexico,MX,MEX,7,0.831127514,5,2015-10-01,2023-06-29
Singapore,SG,SGP,10,0.6997667,6,2017-04-01,2024-03-28
Philippines,PH,PHL,2,0.695,2,2016-03-01,2019-01-01
Vietnam,VN,VNM,8,0.5195,8,2020-10-01,2022-10-01
"Korea, Republic of",KR,KOR,1,0.5,1,2022-04-13,2022-04-13
Morocco,MA,MAR,3,0.410467,2,2016-11-01,2025-02-10
Egypt,EG,EGY,1,0.3345,1,2022-04-28,2022-04-28
Panama,PA,PAN,4,0.16,4,2020-08-01,2024-12-23
Costa Rica,CR,CRI,1,0.15,1,2021-11-04,2021-11-04
Nigeria,NG,NGA,10,0.120989635,9,2017-12-01,2025-11-20
Dominican Republic,DO,DOM,2,0.10503364000000001,2,2021-12-29,2024-05-28
Kenya,KE,KEN,2,0.095490665,1,2019-08-11,2019-10-01
Malaysia,MY,MYS,1,0.083,1,2023-09-29,2023-09-29
Spain,ES,ESP,1,0.075,1,2020-07-01,2020-07-01
Sweden,SE,SWE,3,0.06248461,2,2020-11-26,2022-12-22
Peru,PE,PER,1,0.045,1,2021-12-01,2021-12-01
Hungary,HU,HUN,1,0.0320148,1,2021-12-13,2021-12-13
Colombia,CO,COL,2,0.0243,2,2018-07-01,2021-07-21
Barbados,BB,BRB,2,0.019000000000000003,1,2019-06-01,2021-01-01
Cote d'Ivoire,CI,CIV,1,0.0178775,1,2021-08-12,2021-08-12
Kazakhstan,KZ,KAZ,1,0.015,1,2023-12-22,2023-12-22
Bolivia,BO,BOL,1,0.014507254,1,2023-12-20,2023-12-20
Cyprus,CY,CYP,1,0.00561432,1,2023-07-18,2023-07-18
