Primary_Sector,Bond_Count,Total_USD_B,Countries
Low Carbon Transport,219,128.436942263,21
Low Carbon Buildings,173,65.391327924,18
Solar,114,13.855384214,28
Transport Buildings Grids R,2,10.627085525999998,1
Solarwind,34,9.23240799,11
Wind,64,7.542743529,15
Electrical Grids And Storage,44,7.224613285,4
Water Infrastructure,33,7.0847212,4
Low Carbon Transportsolarwater Infrastructure,3,6.039334,1
Low Carbon Transportmarine Renewable Energysolarwind,4,5.814071,2
Low Carbon Transportlow Carbon Buildingsmarinesolarwaterwind,1,5.2085155930000004,1
Solar Wind,14,3.76148244,6
Low Carbon Transportsolarwind,3,2.826276,1
Low Carbon Transportwater Infrastructure,4,2.81417,2
Solarwindlow Carbon Transport,2,2.673,2
Low Carbon Transportlow Carbon Buildings,4,2.33953,2
Marine Renewable Energy,5,2.092,4
Geothermal,13,1.998084229,5
Low Carbon Transportwindwater Infrastructure,1,1.62,1
Low Carbon Transportwind,1,1.45,1
Forestrygeothermalhydropowerlow Carbon Transportlow Carbon Buildings,1,1.3919125,1
Marine Renewable Energysolarwind,6,1.226697571,2
Low Carbon Transport Buildings Solar,1,1.215,1
Bioenergy,12,1.063771859,1
Low Carbon Transportmarine Renewable Energywater Infrastructurewind,1,1,1
Low Carbon Transportwindsolar,1,1,1
Solar Wind Grids Marine Renewables,2,1,1
Low,1,0.93,1
Wind Solar Low Carbon Buildings,1,0.8023725,1
Low Carbon Transportsolar,4,0.7739882,3
Solar Transport Wind,1,0.71,1
Low Carbon Transport Shipping,2,0.65,1
Low Carbon Transport Solar Wind Marine Renewable Energy Waste Management,1,0.611,1
Windgeothermal,4,0.5923868000000001,1
Low Carbon Transportmarine Rewable Energysolarwind,1,0.590703,1
Low Carbon Buildingslow Carbon Transportsolarwind,1,0.589,1
Low Carbon Transport Marine Renewable Energywater Infrastructure Wind,1,0.589,1
Solar Wind Residential Buildings,1,0.580565,1
Windsolar,4,0.56975,3
Solar Wind Low Carbon Buildings,1,0.557805,1
Solarwindgeothermal,1,0.47,1
Low Carbon Buildingssolarwind,1,0.464,1
Forestry Low Carbon Transport Solar Grids Water Wind,4,0.357851277,1
Resilience Water Grids,1,0.350619,1
Steel,1,0.33,1
Windmarine Renewable Energygeothermal,2,0.29542999999999997,1
Windlow Carbon Buildingssolar,1,0.284002,1
Shipping,1,0.246898,1
Windsolarmarine Renewables,5,0.18929778800000002,1
Hydropower,1,0.15,1
Solar Low Carbon Transport,1,0.133432,1
Protected Agriculture,1,0.13,1
Protected Agriculturewater Infrastructuresolarforestry,1,0.129,1
Low Carbon Transport Solar,1,0.113085986,1
Forestry,3,0.111481536,3
Windmarine Renewable Energygeothermalsolar,1,0.095,1
Low Carbon Buildings Low Carbon Transportsolarwind,1,0.091,1
Marine Renewable Energygeothermalwind,1,0.0880665,1
Water,1,0.076,1
Agriculture,5,0.07349425,1
Solarwater Infrastructure,1,0.057,1
Solarwater Infrastructurelow Carbon Transport,1,0.0418,1
Low Carbon Transportlow Carbon Buildingsmarinesolar,1,0.0302,1
Transport Solar Water Waste Wind,1,0.0225478,1
Solar Transport,2,0.0225,2
Low Carbon Transportlow Carbon Buildingsmarine Renewableswind,1,0.02022643,1
Waste Management,1,0.017,1
Agriculture Solar Water,1,0.0102127,1
Energy,1,0,1
Geothermal Hydropower,2,0,1
Low Carbon Buildingswind,1,0,1
Solar Wind Low Carbon Transport Waste,1,0,1
Solar Wind Transport,1,0,1
Transport,1,0,1
