ISO2,ISO3,Issuer Country,Primary_Sector,Bond_Count,Total_USD_B
AE,ARE,United Arab Emirates,Solar,4,4.69315
AE,ARE,United Arab Emirates,Solar Wind Grids Marine Renewables,2,1
AE,ARE,United Arab Emirates,Solarwind,1,0.75
AU,AUS,Australia,Low Carbon Transport,14,6.065493995000001
AU,AUS,Australia,Low Carbon Transportsolarwater Infrastructure,3,6.039334
AU,AUS,Australia,Low Carbon Buildings,66,5.419874515
AU,AUS,Australia,Low Carbon Transportwater Infrastructure,3,2.4351700000000003
AU,AUS,Australia,Low Carbon Transportlow Carbon Buildings,3,2.03953
AU,AUS,Australia,Solar,23,1.637661583
AU,AUS,Australia,Forestrygeothermalhydropowerlow Carbon Transportlow Carbon Buildings,1,1.3919125
AU,AUS,Australia,Electrical Grids And Storage,15,1.2170861
AU,AUS,Australia,Low Carbon Transport Buildings Solar,1,1.215
AU,AUS,Australia,Low Carbon Transportsolar,2,0.7084882
AU,AUS,Australia,Solarwind,2,0.6874
AU,AUS,Australia,Low Carbon Buildingslow Carbon Transportsolarwind,1,0.589
AU,AUS,Australia,Low Carbon Buildingssolarwind,1,0.464
AU,AUS,Australia,Wind,3,0.392591
AU,AUS,Australia,Forestry Low Carbon Transport Solar Grids Water Wind,4,0.357851277
AU,AUS,Australia,Windlow Carbon Buildingssolar,1,0.284002
AU,AUS,Australia,Solar Low Carbon Transport,1,0.133432
AU,AUS,Australia,Low Carbon Transport Solar,1,0.113085986
AU,AUS,Australia,Low Carbon Buildings Low Carbon Transportsolarwind,1,0.091
AU,AUS,Australia,Low Carbon Buildingswind,1,0
BE,BEL,Belgium,Low Carbon Buildings,3,1.984871
BO,BOL,Bolivia,Solar,1,0.014507254
BR,BRA,Brazil,Bioenergy,12,1.063771859
BR,BRA,Brazil,Solar,17,0.585315862
BR,BRA,Brazil,Low Carbon Transport,1,0.5
BR,BRA,Brazil,Wind,11,0.41256184
BR,BRA,Brazil,Water Infrastructure,1,0.1663
BR,BRA,Brazil,Agriculture,5,0.07349425
BR,BRA,Brazil,Forestry,1,0.001481536
BB,BRB,Barbados,Solar,2,0.019000000000000003
CH,CHE,Switzerland,Low Carbon Buildings,1,0.861712
CH,CHE,Switzerland,Low Carbon Transport,1,0.200064
CH,CHE,Switzerland,Wind,1,0.106
CL,CHL,Chile,Low Carbon Buildings,5,5.297
CL,CHL,Chile,Low Carbon Transport,2,2.1479999999999997
