ISO3,Country,CFBL_2018,CFBL_Trend,Green_Cumulative_USD_B,Green_2024_USD_B
KAZ,"Kazakhstan, Rep. of",1205.061669,100.5116411607225,0.122671,0.006301
TUR,Turkey,861.5928036,31.429317957583386,4.89735,0.05
IDN,Indonesia,644.595661081004,16.792059758441333,11.43225,1.30507
PHL,Philippines,635.9737532,7.004131967033724,3.93262,0.42886
MYS,Malaysia,514.702339866953,-23.127031482901298,2.96076,0.21971
EST,"Estonia, Rep. of",417.6352616,-12.410886626362023,0.664435,0.442975
ARG,Argentina,352.975636702228,10.155484420703997,2.054855,0.118125
CZE,Czech Rep.,321.0560427,-4.190000948790852,11.153753,2.203393
BRA,Brazil,269.4789273,9.097869399999936,25.316927,7.242937
PER,Peru,228.9412043,-6.410680932867885,1.7163,0
COL,Colombia,224.6301822,-18.51761708000002,1.41253,0.015
LVA,Latvia,190.5663819,0.5286360472729983,0.47262,0
SVK,Slovak Rep.,176.1915076,-7.4725722285715594,2.390824,0.418744
HUN,Hungary,174.7640693,-2.812763271817977,10.587786,2.830706
SVN,"Slovenia, Rep. of",174.6984518,-3.857588947802208,0.70116,0.05347
MLT,Malta,169.4188245,-57.818268808333336,0.027,0
HRV,"Croatia, Rep. of",168.6399031,0.39034217833333096,0.43398,0.43398
CYP,Cyprus,126.1778031,-4.947954636666664,0.3296,0.3215
LTU,Lithuania,86.00358185,-7.5439402440659515,0.85213,0
CRI,Costa Rica,51.34346448,-6.675126869727093,0.5535,0.05
