Country,ISO2,ISO3,Year,CFBL_Multiplier
Argentina,AR,ARG,2015,307.479541685605
Argentina,AR,ARG,2016,343.775345725384
Argentina,AR,ARG,2017,308.841904882555
Argentina,AR,ARG,2018,352.975636702228
Belgium,BE,BEL,2012,139.6893318
Belgium,BE,BEL,2013,120.8729475
Belgium,BE,BEL,2014,113.850466
Belgium,BE,BEL,2015,141.4612693
Belgium,BE,BEL,2016,124.174458
Belgium,BE,BEL,2017,123.2863783
Belgium,BE,BEL,2018,112.6552115
Brazil,BR,BRA,2012,214.0459063
Brazil,BR,BRA,2013,251.9876161
Brazil,BR,BRA,2014,288.3010531
Brazil,BR,BRA,2015,367.1994477
Brazil,BR,BRA,2016,316.4366421
Brazil,BR,BRA,2017,282.1404617
Brazil,BR,BRA,2018,269.4789273
Brunei Darussalam,BN,BRN,2010,599.5540335
Brunei Darussalam,BN,BRN,2011,301.6658837
Brunei Darussalam,BN,BRN,2012,344.2698086
Brunei Darussalam,BN,BRN,2013,368.6606262
Brunei Darussalam,BN,BRN,2014,397.8990647
Brunei Darussalam,BN,BRN,2015,392.0500512
Brunei Darussalam,BN,BRN,2016,430.6314794
Brunei Darussalam,BN,BRN,2017,409.76788320000003
Brunei Darussalam,BN,BRN,2018,494.7576046
Bulgaria,BG,BGR,2009,514.2731449
Bulgaria,BG,BGR,2010,605.4689448
Bulgaria,BG,BGR,2011,620.961106
Bulgaria,BG,BGR,2012,613.0394437
Bulgaria,BG,BGR,2013,508.6806711
Bulgaria,BG,BGR,2014,542.8862154
Bulgaria,BG,BGR,2015,643.784758
Bulgaria,BG,BGR,2016,581.7578031
Bulgaria,BG,BGR,2017,550.7198422
Bulgaria,BG,BGR,2018,456.9417644
Canada,CA,CAN,2005,358.2838079
Canada,CA,CAN,2006,333.0473862
Canada,CA,CAN,2007,315.5419256
Canada,CA,CAN,2008,287.2677942
Canada,CA,CAN,2009,316.0497997
Canada,CA,CAN,2010,275.2151048
Canada,CA,CAN,2011,254.086182
Canada,CA,CAN,2012,244.7266459
Canada,CA,CAN,2013,255.034067
Canada,CA,CAN,2014,274.6419203
Canada,CA,CAN,2015,340.960901
Canada,CA,CAN,2016,351.9609789
Canada,CA,CAN,2017,302.282531
Canada,CA,CAN,2018,298.1842047
"China, P.R.: Hong Kong",HK,HKG,2005,348.1473147
"China, P.R.: Hong Kong",HK,HKG,2006,318.3253522
"China, P.R.: Hong Kong",HK,HKG,2007,293.9049514
"China, P.R.: Hong Kong",HK,HKG,2008,271.6626574
"China, P.R.: Hong Kong",HK,HKG,2009,295.6390412
"China, P.R.: Hong Kong",HK,HKG,2010,268.6270792
"China, P.R.: Hong Kong",HK,HKG,2011,291.8246815
"China, P.R.: Hong Kong",HK,HKG,2012,253.9444262
"China, P.R.: Hong Kong",HK,HKG,2013,235.0129746
"China, P.R.: Hong Kong",HK,HKG,2014,297.9380055
"China, P.R.: Hong Kong",HK,HKG,2015,251.0455169
