ISO3,Country,Year,Green_Issuance_USD_B,Is_Region
ARE,United Arab Emirates,2012,0,FALSE
ARE,United Arab Emirates,2013,0,FALSE
ARE,United Arab Emirates,2014,0,FALSE
ARE,United Arab Emirates,2015,0,FALSE
ARE,United Arab Emirates,2016,0,FALSE
ARE,United Arab Emirates,2017,0.5870000123977661,FALSE
ARE,United Arab Emirates,2018,0,FALSE
ARE,United Arab Emirates,2019,1.270000047981739,FALSE
ARE,United Arab Emirates,2020,0.09677000343799592,FALSE
ARE,United Arab Emirates,2021,0.600610014051199,FALSE
ARE,United Arab Emirates,2022,3.1767500080168247,FALSE
ARE,United Arab Emirates,2023,8.70389997959137,FALSE
ARE,United Arab Emirates,2024,3.300000049173832,FALSE
ARG,Argentina,2012,0,FALSE
ARG,Argentina,2013,0,FALSE
ARG,Argentina,2014,0,FALSE
ARG,Argentina,2015,0,FALSE
ARG,Argentina,2016,0,FALSE
ARG,Argentina,2017,0.5370600055903196,FALSE
ARG,Argentina,2018,0.10000000149011612,FALSE
ARG,Argentina,2019,0,FALSE
ARG,Argentina,2020,0.0500200018286705,FALSE
ARG,Argentina,2021,0.4779899958521128,FALSE
ARG,Argentina,2022,0.34845999666140415,FALSE
ARG,Argentina,2023,0.42319999451137846,FALSE
ARG,Argentina,2024,0.11812499928055332,FALSE
ARM,Armenia,2012,0,FALSE
ARM,Armenia,2013,0,FALSE
ARM,Armenia,2014,0,FALSE
ARM,Armenia,2015,0,FALSE
ARM,Armenia,2016,0,FALSE
ARM,Armenia,2017,0,FALSE
ARM,Armenia,2018,0,FALSE
ARM,Armenia,2019,0,FALSE
ARM,Armenia,2020,0.05000000074505806,FALSE
ARM,Armenia,2021,0,FALSE
ARM,Armenia,2022,0,FALSE
ARM,Armenia,2023,0,FALSE
ARM,Armenia,2024,0,FALSE
BGD,Bangladesh,2012,0,FALSE
BGD,Bangladesh,2013,0,FALSE
BGD,Bangladesh,2014,0,FALSE
BGD,Bangladesh,2015,0,FALSE
BGD,Bangladesh,2016,0,FALSE
BGD,Bangladesh,2017,0,FALSE
BGD,Bangladesh,2018,0,FALSE
BGD,Bangladesh,2019,0,FALSE
BGD,Bangladesh,2020,0,FALSE
BGD,Bangladesh,2021,0.02873999997973442,FALSE
BGD,Bangladesh,2022,0,FALSE
BGD,Bangladesh,2023,0,FALSE
BGD,Bangladesh,2024,0,FALSE
BHR,Bahrain,2012,0,FALSE
